Date[G],Last
20000327,3151.416
20000328,3125.899
20000329,3073.635
20000330,3090.673
20000331,3119.234
20000403,3087.48
20000404,3010.409
20000405,3036.427
20000406,3019.626
20000407,2991.231
20000410,2919.576
20000411,2927.161
20000412,3021.168
20000413,3026.958
20000414,2995.36
20000417,3019.993
20000418,3039.081
20000419,3101.37
20000420,3103.087
20000424,3116.237
20000425,3084.074
20000426,3045.006
20000427,3072.862
20000428,3090.82
20000501,3126.474
20000502,3199.591
20000503,3175.451
20000504,3195.945
20000505,3196.121
20000508,3249.849
20000509,3292.268
20000510,3297.388
20000511,3361.491
20000512,3387.039
20000515,3401.946
20000516,3411.923
20000517,3417.292
20000518,3466.132
20000519,3454.449
20000522,3394.1
20000523,3400.882
20000524,3483.075
20000525,3523.046
20000526,3503.633
20000530,3506.489
20000531,3436.913
20000601,3483.544
20000602,3500.302
20000605,3485.46
20000606,3485.619
20000607,3460.309
20000608,3468.148
20000609,3495.892
20000612,3562.23
20000613,3602.821
20000614,3595.719
20000615,3600.162
20000616,3543.899
20000619,3491.288
20000620,3554.841
20000621,3617.326
20000622,3684.844
20000623,3675.784
20000626,3648.637
20000627,3684.845
20000628,3659.266
20000629,3714.353
20000630,3681.85
20000703,3678.732
20000705,3544.009
20000706,3499.512
20000707,3529.405
20000710,3505.589
20000711,3517.48
20000712,3529.106
20000713,3595.784
20000714,3583.674
20000717,3541.546
20000718,3607.948
20000719,3573.698
20000720,3544.182
20000721,3474.106
20000724,3417.495
20000725,3406.754
20000726,3413.294
20000727,3435.642
20000728,3448.632
20000731,3399.092
20000801,3431.419
20000802,3482.649
20000803,3502.507
20000804,3574.484
20000807,3513.143
20000808,3534.429
20000809,3603.63
20000810,3665.137
20000811,3661.302
20000814,3679.873
20000815,3666.087
20000816,3685.812
20000817,3713.857
20000818,3738.124
20000821,3794.571
20000822,3729.778
20000823,3799.442
20000824,3779.376
20000825,3813.175
20000828,3866.168
20000829,3879.959
20000830,3927.231
20000831,3922.848
20000901,3938.146
20000905,3990.322
20000906,4058.876
20000907,4097.886
20000908,3986.335
20000911,4098.45
20000912,4046.633
20000913,3997.803
20000914,4020.26
20000915,4107.22
20000918,4161.692
20000919,4120.766
20000920,4124.391
20000921,4060.382
20000922,3971.22
20000925,3924.721
20000926,3924.969
20000927,3936.334
20000928,3828.502
20000929,3869.143
20001002,3969.733
20001003,3969.038
20001004,3927.03
20001005,3860.416
20001006,3861.564
20001009,3937.891
20001010,4042.881
20001011,4089.378
20001012,4266.153
20001013,4134.499
20001016,4010.794
20001017,4006.546
