"Bond","SP500","NAREIT","SPGSCI"
"Q1y_1981",0.278351535693845,0.30800465222756,0.216433435975054,0.197210376103541
"Q2y_1981",0.365205642511988,0.265592393393909,0.198285460868983,0.170916503225119
"Q3y_1981",0.315330911405919,0.2825878816908,0.216458442002974,0.185622764900307
"Q4y_1981",0.338624795667518,0.276515830668595,0.20429763710887,0.180561736555017
"Q1y_1982",0.189796781141969,0.335354341708562,0.254282402975105,0.220566474174364
"Q2y_1982",0.216780858280094,0.317920659868501,0.253236166660019,0.212062315191386
"Q3y_1982",0.239601489359412,0.30741968476579,0.247043506999205,0.205935318875593
"Q4y_1982",0.226169111281765,0.305215842633436,0.256130025865233,0.212485020219567
"Q1y_1983",0.24235943886585,0.298641436707057,0.248533717225168,0.210465407201925
"Q2y_1983",0.266716858493074,0.291958443976068,0.241140108325108,0.20018458920575
"Q3y_1983",0.293470441575803,0.281142526328731,0.235182087512595,0.19020494458287
"Q4y_1983",0.303301318846265,0.275069731995894,0.236203022774739,0.185425926383102
"Q1y_1984",0.330792877901156,0.26053563051825,0.234292166993052,0.174379324587542
"Q2y_1984",0.347753931950039,0.250936139665498,0.233257182344992,0.168052746039471
"Q3y_1984",0.293070645654504,0.231207828554662,0.217183843928652,0.258537681862182
"Q4y_1984",0.30657747583277,0.257524226574621,0.238866262087672,0.197032035504937
"Q1y_1985",0.280729852176241,0.247699083564156,0.256036685476714,0.215534378782889
"Q2y_1985",0.288063216047162,0.2402406961548,0.249075889051872,0.222620198746167
"Q3y_1985",0.271237563170569,0.237722537495174,0.269079207597076,0.221960691737182
"Q4y_1985",0.31790026467935,0.246681459013092,0.210575448940183,0.224842827367376
"Q1y_1986",0.295166082376047,0.254226363662737,0.233638774585583,0.216968779375634
"Q2y_1986",0.311697861283325,0.259700051666987,0.250518659509897,0.178083427539791
"Q3y_1986",0.333611988885509,0.248596080771285,0.250272204079619,0.167519726263588
"Q4y_1986",0.362201943361543,0.232263299168533,0.242585123299048,0.162949634170876
"Q1y_1987",0.376046135134304,0.22309541584778,0.238740594218,0.162117854799917
"Q2y_1987",0.394127184187835,0.2114222298327,0.248559598019822,0.145890987959643
"Q3y_1987",0.36523118281813,0.22308602004783,0.253812991511388,0.157869805622651
"Q4y_1987",0.35279224434072,0.228331616040443,0.251836124856673,0.167040014762164
"Q1y_1988",0.39005189948622,0.219819107134874,0.180602181221282,0.209526812157625
"Q2y_1988",0.370708293948768,0.220868045145506,0.196544127037594,0.211879533868132
"Q3y_1988",0.373573988822494,0.213411102410907,0.206204240972217,0.206810667794381
"Q4y_1988",0.383201396221966,0.202442511636856,0.209744341035595,0.204611751105583
"Q1y_1989",0.392621947445332,0.202011062602146,0.216955556020578,0.188411433931944
"Q2y_1989",0.399875746181659,0.198754959539676,0.218125011684202,0.183244282594463
"Q3y_1989",0.384955232380606,0.199039453578515,0.228523498272355,0.187481815768524
"Q4y_1989",0.385931734433284,0.199627154781139,0.230252716290939,0.184188394494638
"Q1y_1990",0.399458196001998,0.204789922517501,0.214297007477141,0.18145487400336
"Q2y_1990",0.399838089130052,0.200747402584971,0.208808420939127,0.190606087345851
"Q3y_1990",0.399987619117402,0.194546062189324,0.215151605780284,0.19031471291299
"Q4y_1990",0.399818866048629,0.266166626285435,0.222707107146314,0.111307400519622
"Q1y_1991",0.399969127696161,0.210775015510637,0.197891871079402,0.191363985713799
"Q2y_1991",0.399969198524527,0.217802779655218,0.189494017395431,0.192734004424824
"Q3y_1991",0.399808378506445,0.201930812764685,0.205928923178632,0.192331885550238
"Q4y_1991",0.399819558434478,0.190809192576162,0.219054890177615,0.190316358811744
"Q1y_1992",0.399499649318555,0.206358842506835,0.244378465733418,0.149763042441192
"Q2y_1992",0.399889747507891,0.194165573674497,0.21448600377243,0.191458675045183
"Q3y_1992",0.399954602346038,0.190338964015317,0.221137090697637,0.188569342941008
"Q4y_1992",0.399893656773557,0.18637041790716,0.223088125917263,0.19064779940202
"Q1y_1993",0.399888272336459,0.183239561048841,0.231418844478922,0.185453322135778
"Q2y_1993",0.399490514894727,0.198226939071607,0.195910668125682,0.206371877907984
"Q3y_1993",0.399600500010685,0.202481314281794,0.212770700405195,0.185147485302326
"Q4y_1993",0.399960361787504,0.18787767534613,0.212451024019811,0.199710938846555
"Q1y_1994",0.399973129278318,0.203362613415573,0.214783398997578,0.18188085830853
"Q2y_1994",0.399915187335971,0.201563035053872,0.208973910392075,0.189547867218083
"Q3y_1994",0.399940717257142,0.191657478588502,0.214509871575709,0.193891932578647
"Q4y_1994",0.399947338668321,0.198848459042383,0.230880216556246,0.17032398573305
"Q1y_1995",0.399835629812161,0.207206737200846,0.201799295703705,0.191158337283288
"Q2y_1995",0.399945403458303,0.193209871424148,0.214236601402874,0.192608123714675
"Q3y_1995",0.399997653935773,0.192129119642091,0.223757959716255,0.184115266705881
"Q4y_1995",0.399985910110019,0.212017458289826,0.216459572303241,0.171537059296914
"Q1y_1996",0.399794999483291,0.263517089133561,0.211215987868309,0.125471923514839
"Q2y_1996",0.386339296978756,0.290543712556577,0.199099032403216,0.124017958061451
"Q3y_1996",0.323674099523804,0.399974048972087,0.165058141881066,0.111293709623044
"Q4y_1996",0.39993124353353,0.23938007113726,0.212905395721648,0.147783289607563
"Q1y_1997",0.399185365758673,0.25705285341518,0.16907481124512,0.174686969581027
