Date[G],Last
20000310,4094.57562
20000313,4003.96357
20000314,4000.00529
20000315,3946.57349
20000316,4023.63903
20000317,4047.79282
20000320,4075.69494
20000321,4082.37632
20000322,4053.48673
20000323,4062.04304
20000324,4128.24813
20000327,4139.44022
20000328,4169.19579
20000329,4159.26763
20000330,4080.61492
20000331,4126.13733
20000403,4074.00171
20000404,4067.47039
20000405,4029.39545
20000406,4052.52263
20000407,4084.89166
20000410,4093.10786
20000411,4038.71435
20000412,4041.44131
20000413,4011.83607
20000414,3943.583
20000417,3832.34234
20000418,3876.79974
20000419,3900.69036
20000420,3916.29814
20000421,3913.52265
20000424,3937.81806
20000425,3931.87405
20000426,3938.65375
20000427,3875.31411
20000428,3912.17333
20000501,3925.08011
20000502,3978.30986
20000503,3891.174
20000504,3893.11604
20000505,3897.91001
20000508,3873.64299
20000509,3830.20833
20000510,3800.21621
20000511,3794.25528
20000512,3860.61889
20000515,3850.13905
20000516,3880.44176
20000517,3795.12135
20000518,3798.6025
20000519,3723.15663
20000522,3673.56592
20000523,3708.37239
20000524,3669.50601
20000525,3726.87635
20000526,3746.9866
20000529,3779.80299
20000530,3835.61308
20000531,3823.47485
20000601,3872.96621
20000602,3997.50101
20000605,4012.10118
20000606,4049.12728
20000607,4021.20649
20000608,4008.04951
20000609,3993.30731
20000612,4006.3116
20000613,4006.53759
20000614,4019.17939
20000615,3962.71852
20000616,3980.17938
20000619,3991.61346
20000620,4024.01031
20000621,3992.07256
20000622,3969.41138
20000623,3944.78093
20000626,3927.50028
20000627,3947.16864
20000628,3970.54158
20000629,3939.56809
20000630,3975.47796
20000703,4006.92494
20000704,4001.79937
20000705,3990.18448
20000706,3981.2778
20000707,4013.09818
20000710,4035.78101
20000711,4024.72135
20000712,4012.55195
20000713,3980.62128
20000714,3996.58234
20000717,4000.06914
20000718,3946.21793
20000719,3923.10085
20000720,3942.83635
20000721,3906.87799
20000724,3901.94192
20000725,3908.68978
20000726,3910.38993
20000727,3842.14818
20000728,3780.38171
20000731,3807.7498
20000801,3819.31073
20000802,3801.64255
20000803,3739.72161
20000804,3765.47191
20000807,3801.93427
20000808,3777.63582
20000809,3807.89744
20000810,3827.16537
20000811,3822.52406
20000814,3837.37641
20000815,3868.89018
20000816,3882.27292
20000817,3865.55683
20000818,3857.96585
20000821,3837.05542
20000822,3843.03208
20000823,3842.58418
20000824,3860.10239
20000825,3888.07981
20000828,3894.68636
20000829,3877.72443
20000830,3846.9622
20000831,3842.44323
20000901,3928.97561
20000904,3949.91798
20000905,3877.79328
20000906,3831.09634
20000907,3817.40082
20000908,3768.85113
20000911,3733.53712
20000912,3703.58293
20000913,3691.61809
20000914,3702.37723
20000915,3683.16906
20000918,3638.44108
20000919,3642.3003
20000920,3617.36177
20000921,3589.12778
20000922,3629.81583
20000925,3649.63231
20000926,3641.60938
20000927,3636.84666
20000928,3637.77979
20000929,3655.75593
20001002,3678.16289
20001003,3685.30476
20001004,3662.311
20001005,3666.43743
20001006,3643.8537
20001009,3587.88634
20001010,3586.1533
20001011,3534.15645
20001012,3512.30823
20001013,3515.88105
20001016,3502.65687
20001017,3470.07027
20001018,3425.80795
20001019,3456.32768
20001020,3484.4468
20001023,3496.15992
20001024,3547.76945
20001025,3499.43901
20001026,3479.29574
20001027,3537.96698
20001030,3540.71877
20001031,3567.37015
20001101,3623.43559
20001102,3628.26951
20001103,3649.43167
20001106,3659.0864
20001107,3654.44671
20001108,3632.15791
20001109,3601.20486
20001110,3570.98431
20001113,3512.77121
20001114,3560.05016
20001115,3576.96875
20001116,3531.50384
20001117,3517.36559
20001120,3461.9745
20001121,3452.72065
20001122,3387.25639
20001123,3399.36631
20001124,3421.88987
20001127,3478.1219
20001128,3460.9375
20001129,3447.09675
20001130,3432.21163
20001201,3480.24757
20001204,3490.87448
20001205,3532.26627
20001206,3532.86778
20001207,3522.19602
20001208,3523.11717
20001211,3569.82259
20001212,3560.1123
20001213,3542.05052
20001214,3525.20166
20001215,3486.46359
20001218,3493.09713
20001219,3491.52954
20001220,3446.84357
20001221,3423.89514
20001222,3447.84839
20001225,3472.15537
20001226,3478.13896
20001227,3516.33586
20001228,3519.13196
20001229,3552.51119
20010101,3552.51119
20010102,3539.76755
20010103,3505.26631
20010104,3548.56717
20010105,3559.58106
20010108,3540.34069
20010109,3480.5656
20010110,3457.45323
20010111,3482.79205
20010112,3498.49433
20010115,3489.79323
20010116,3472.01807
20010117,3510.15307
20010118,3546.19368
20010119,3527.70331
20010122,3532.33986
20010123,3533.11001
20010124,3504.99884
20010125,3512.94914
20010126,3508.41913
20010129,3509.20128
20010130,3522.78167
20010131,3550.8364
20010201,3560.50505
20010202,3516.61314
20010204,2842.394
20010205,3516.00753
20010206,3504.72668
20010207,3474.52299
20010208,3431.55714
20010209,3411.49742
20010212,3446.12907
20010213,3426.25267
20010214,3392.51563
20010215,3389.64773
20010216,3365.00298
20010219,3359.23523
20010220,3322.07269
20010221,3298.10732
20010222,3281.02969
20010223,3254.28303
20010226,3277.52964
20010227,3300.11465
20010228,3284.89611
20010301,3278.01232
20010302,3263.37383
20010305,3274.72746
20010306,3324.7096
20010307,3320.44493
20010308,3319.28399
20010309,3292.18074
20010312,3204.88539
20010313,3132.34853
20010314,3076.09418
20010315,3112.75602
20010316,3032.3292
20010319,3025.80035
20010320,3065.81333
20010321,3052.82743
20010322,2913.69024
20010323,3003.13863
20010326,3108.13946
20010327,3157.10065
20010328,3118.9555
20010329,3069.5182
20010330,3067.40143
20010402,3042.21931
20010403,3004.8414
20010404,3056.81506
20010405,3104.76857
20010406,3112.60736
20010409,3113.15912
20010410,3129.14733
20010411,3142.45423
20010412,3175.01495
20010413,3171.83103
20010416,3144.85609
20010417,3128.31189
20010418,3195.31895
20010419,3245.66094
20010420,3247.43583
20010423,3222.13565
20010424,3218.38674
20010425,3227.79154
20010426,3260.80622
20010427,3270.40936
20010430,3282.53894
20010501,3323.26082
20010502,3323.16266
20010503,3290.22633
20010504,3307.40991
20010507,3318.24608
20010508,3283.12144
20010509,3256.32104
20010510,3288.11286
20010511,3263.0898
20010514,3204.5266
20010515,3245.23512
20010516,3246.33265
20010517,3279.15981
20010518,3275.19548
20010521,3300.49639
20010522,3295.57894
20010523,3275.16979
20010524,3265.52834
20010525,3244.73224
20010528,3245.81044
20010529,3229.12948
20010530,3189.13172
20010531,3169.29093
20010601,3161.11048
20010604,3171.65934
20010605,3191.03121
20010606,3172.9413
20010607,3181.69689
20010608,3172.97415
20010611,3123.8301
20010612,3077.42011
20010613,3101.09985
20010614,3093.08257
20010615,3074.0705
20010618,3046.27657
20010619,3041.74854
20010620,3019.23853
20010621,3034.36172
20010622,3050.93305
20010625,3058.22341
20010626,3029.17523
20010627,3019.56683
20010628,3010.69736
20010629,3040.86307
20010702,3066.52658
20010703,3044.57224
20010704,3022.27895
20010705,2976.51547
20010706,2930.67306
20010709,2935.18286
20010710,2946.17793
20010711,2924.4598
20010712,2945.34909
20010713,2949.05025
20010716,2944.77645
20010717,2908.32726
20010718,2917.79839
20010719,2947.7438
20010720,2939.15975
20010723,2912.69782
20010724,2905.85336
20010725,2896.42809
20010726,2905.74744
20010727,2933.15372
20010730,2945.23683
20010731,2985.77712
20010801,3011.3689
20010802,3041.7255
20010803,3021.46031
20010806,3007.60108
20010807,3007.84826
20010808,2979.19658
20010809,2946.6861
20010810,2950.16179
20010813,2955.47924
20010814,3001.36054
20010815,3028.99285
20010816,2995.74558
20010817,2969.17875
20010820,2949.47567
20010821,2979.82061
20010822,2998.77246
20010823,2976.72001
20010824,3006.64805
20010827,3008.06641
20010828,2977.8048
20010829,2967.29989
20010830,2912.65075
20010831,2910.76108
20010903,2868.3523
20010904,2878.85821
20010905,2831.62512
20010906,2788.20377
20010907,2762.90622
20010910,2716.688
20010911,2631.085
20010912,2602.716
20010913,2635.933
20010914,2588.472
20010917,2594.574
20010918,2587.029
20010919,2577.931
20010920,2497.449
20010921,2407.196
20010924,2490.103
20010925,2534.076
20010926,2545.209
20010927,2562.697
20010928,2616.596
20011001,2596.012
20011002,2622.76
20011003,2626.08
20011004,2691.879
20011005,2695.177
20011008,2693.732
20011009,2673.144
20011010,2695.971
20011011,2719.394
20011012,2730.597
20011015,2689.99
20011016,2712.495
20011017,2758.285
20011018,2705.931
20011019,2665.421
20011022,2679.694
20011023,2728.532
20011024,2743.224
20011025,2721.28
20011026,2750.316
20011029,2723.563
20011030,2679.6
20011031,2683.504
20011101,2711.678
20011102,2713.699
20011105,2746.998
20011106,2758.607
20011107,2761.63
20011108,2793.894
20011109,2771.482
20011112,2725.272
20011113,2746.719
20011114,2752.065
20011115,2766.612
20011116,2789.761
20011119,2807.266
20011120,2791.769
20011121,2776.011
20011122,2795.399
20011123,2777.932
20011126,2795.84
20011127,2777.309
20011128,2749.108
20011129,2748.793
20011130,2782.599
20011203,2745.298
20011204,2770.937
20011205,2837.595
20011206,2856.519
20011207,2825.392
20011210,2773.782
20011211,2770.225
20011212,2779.654
20011213,2734.296
20011214,2721.517
20011217,2759.584
20011218,2759.144
20011219,2737.504
20011220,2727.17
20011221,2732.093
20011224,2719.437
