"","V1","V2","V3","V4"
"W",0.862111550457581,0.0515183013790439,0,0.0863701481633749
"optw",0.862111550457581,0.0515183013790439,0,0.0863701481633749
"optw",0.862111550457581,0.0515183013790439,0,0.0863701481633749
"optw",0.862111550457581,0.0515183013790439,0,0.0863701481633749
"optw",0.862111550457581,0.0515183013790439,0,0.0863701481633749
"optw",0.862111550457581,0.0515183013790439,0,0.0863701481633749
"optw",0.862111550457581,0.0515183013790439,0,0.0863701481633749
"optw",0.862111550457581,0.0515183013790439,0,0.0863701481633749
"optw",0.862111550457581,0.0515183013790439,0,0.0863701481633749
"optw",0.862111550457581,0.0515183013790439,0,0.0863701481633749
"optw",0.862111550457581,0.0515183013790439,0,0.0863701481633749
"optw",0.862111550457581,0.0515183013790439,0,0.0863701481633749
"optw",0.862111550457581,0.0515183013790439,0,0.0863701481633749
"optw",0.862111550457581,0.0515183013790439,0,0.0863701481633749
"optw",0.862111550457581,0.0515183013790439,0,0.0863701481633749
"optw",0.862111550457581,0.0515183013790439,0,0.0863701481633749
"optw",0.862111550457581,0.0515183013790439,0,0.0863701481633749
"optw",0.862111550457581,0.0515183013790439,0,0.0863701481633749
"optw",0.862111550457581,0.0515183013790439,0,0.0863701481633749
"optw",0.862111550457581,0.0515183013790439,0,0.0863701481633749
"optw",0.862111550457581,0.0515183013790439,0,0.0863701481633749
"optw",0.862111550457581,0.0515183013790439,0,0.0863701481633749
"optw",0.862111550457581,0.0515183013790439,0,0.0863701481633749
"optw",0.862111550457581,0.0515183013790439,0,0.0863701481633749
"optw",0.862111550457581,0.0515183013790439,0,0.0863701481633749
"optw",0.862111550457581,0.0515183013790439,0,0.0863701481633749
"optw",0.862111550457581,0.0515183013790439,0,0.0863701481633749
"optw",0.862111550457581,0.0515183013790439,0,0.0863701481633749
"optw",0.862111550457581,0.0515183013790439,0,0.0863701481633749
"optw",0.862111550457581,0.0515183013790439,0,0.0863701481633749
"optw",0.862111550457581,0.0515183013790439,0,0.0863701481633749
"optw",0.862111550457581,0.0515183013790439,0,0.0863701481633749
"optw",0.862111550457581,0.0515183013790439,0,0.0863701481633749
"optw",0.862111550457581,0.0515183013790439,0,0.0863701481633749
"optw",0.862111550457581,0.0515183013790439,0,0.0863701481633749
"optw",0.862111550457581,0.0515183013790439,0,0.0863701481633749
"optw",0.862111550457581,0.0515183013790439,0,0.0863701481633749
"optw",0.862111550457581,0.0515183013790439,0,0.0863701481633749
"optw",0.862111550457581,0.0515183013790439,0,0.0863701481633749
"optw",0.862111550457581,0.0515183013790439,0,0.0863701481633749
"optw",0.862111550457581,0.0515183013790439,0,0.0863701481633749
"optw",0.862111550457581,0.0515183013790439,0,0.0863701481633749
"optw",0.862111550457581,0.0515183013790439,0,0.0863701481633749
"optw",0.862111550457581,0.0515183013790439,0,0.0863701481633749
"optw",0.862111550457581,0.0515183013790439,0,0.0863701481633749
"optw",0.862111550457581,0.0515183013790439,0,0.0863701481633749
"optw",0.862111550457581,0.0515183013790439,0,0.0863701481633749
"optw",0.862111550457581,0.0515183013790439,0,0.0863701481633749
"optw",0.862111550457581,0.0515183013790439,0,0.0863701481633749
"optw",0.860226777572758,0.0611195312663709,-5.59304715182804e-18,0.0786536911608712
"optw",0.857608297121562,0.0744583441121212,-1.33633651289201e-17,0.0679333587663169
"optw",0.854247784229273,0.0851822185357179,0.0033317932409489,0.0572382039940599
"optw",0.850817934141861,0.0956617471793034,0.00697491680287144,0.0465454018759637
"optw",0.84738808405445,0.106141275822889,0.010618040364794,0.0358525997578675
"optw",0.843958233967038,0.116620804466474,0.0142611639267165,0.0251597976397713
"optw",0.840528383879626,0.12710033311006,0.0179042874886392,0.0144669955216749
"optw",0.837098533792214,0.137579861753646,0.0215474110505618,0.00377419340357855
"optw",0.816338134996451,0.158167920477031,0.0254939445265183,0
"optw",0.786123690551566,0.184270317287928,0.0296059921605056,0
"optw",0.755909246106682,0.210372714098825,0.0337180397944929,0
"optw",0.725694801661799,0.236475110909721,0.0378300874284801,0
"optw",0.695480357216914,0.262577507720619,0.0419421350624674,0
"optw",0.665265912772029,0.288679904531516,0.0460541826964548,0
"optw",0.635051468327145,0.314782301342413,0.0501662303304421,0
"optw",0.604837023882261,0.34088469815331,0.0542782779644293,0
"optw",0.574622579437377,0.366987094964207,0.0583903255984167,0
"optw",0.544408134992492,0.393089491775104,0.062502373232404,0
"optw",0.514193690547608,0.419191888586,0.0666144208663912,1.38777878078145e-17
"optw",0.483979246102724,0.445294285396898,0.0707264685003786,1.38777878078145e-17
"optw",0.453764801657839,0.471396682207795,0.0748385161343659,0
"optw",0.423550357212955,0.497499079018692,0.0789505637683532,0
"optw",0.393335912768071,0.523601475829589,0.0830626114023404,0
"optw",0.363121468323186,0.549703872640486,0.0871746590363278,0
"optw",0.332907023878302,0.575806269451383,0.0912867066703151,0
"optw",0.302692579433418,0.60190866626228,0.0953987543043023,0
"optw",0.272478134988533,0.628011063073177,0.0995108019382898,2.77555756156289e-17
"optw",0.242263690543649,0.654113459884074,0.103622849572277,2.77555756156289e-17
"optw",0.212049246098766,0.68021585669497,0.107734897206264,-2.77555756156289e-17
"optw",0.181834801653881,0.706318253505867,0.111846944840251,0
"optw",0.151620357208996,0.732420650316766,0.115958992474239,0
"optw",0.121405912764112,0.758523047127662,0.120071040108226,0
"optw",0.0911914683192271,0.784625443938559,0.124183087742214,0
"optw",0.0609770238743438,0.810727840749456,0.128295135376201,0
"optw",0.03076257942946,0.836830237560352,0.132407183010188,0
"optw",0.000548134984574622,0.86293263437125,0.136519230644175,0
