"Index" "Bond" "SP500" "NAREIT" "SPGSCI" "TBill" "Inflation" "EAFE"
1976-01-31 0 0.1199 0.127207996713679 -0.0502540197978317 0.00452145749717339 0.00349650349650355 0.0502967501844663
1976-02-29 0 -0.0058 0.0375593041644701 0.0540995788952192 0.00403611833932707 0 -0.0075963279027669
1976-03-31 0.0366645473286708 0.0326 -0.00890838984177638 0.00205176377524531 0.0041919684837098 0.00348432055749122 -0.0170762018108533
1976-04-30 0.00393413679281489 -0.0099 0.00725976768743415 0.0370626041418711 0.00416598348802935 0.00692041522491347 -0.00451786339407788
1976-05-31 -0.00795991991720903 -0.0073 -0.0203367003367004 0.0177694645779751 0.00417464470989172 0.00687285223367707 -0.0277438362115781
1976-06-30 0.0142157049692994 0.0427 0.0136822529224230 -0.0169773635153129 0.00468644270139275 0.0034246575342465 0.0165562913907284
1976-07-31 0 -0.0068 0.0300219043937637 -0.0971225836746407 0.00457354073288157 0.00680272108843535 -0.0117936317090635
1976-08-31 0.0277175222945288 0.0014 0.0287823801776999 -0.0289357133270701 0.00442601314080616 0.00338983050847462 0.000675009787641882
1976-09-30 0.0128660322108346 0.0247 0.0323322838459676 -0.109671462186876 0.00437397524712028 0.00337837837837843 -0.0174722874685786
1976-10-31 0 -0.0206 0.0124372159770391 -0.0124852981091108 0.00432195334236529 0.00336700336700330 -0.0680584489891728
1976-11-30 0.0338266758615811 -9e-04 0.0414947271893626 0.0140639866793531 0.0041919684837098 0.00335570469798662 0.012187875889454
1976-12-31 0.0147475152222581 0.054 0.0812973883740522 0.0478724910115223 0.00393229796091966 0.00666666666666664 0.101236722652409
1977-01-31 -0.0199006743130270 -0.0489 0.0177906495655773 -0.00266825626614436 0.00370757227577578 0.00990099009900992 -0.00583649941045455
1977-02-28 0.00218075439918452 -0.0151 -0.0046762963732724 -0.00247567013829607 0.00403611833932707 0.0065573770491803 0.0217175374401631
1977-03-31 0.00829025565284662 -0.0119 0.0036239387036653 0.0351171027703796 0.00402746420648729 0.006514657980456 0.00325119125180435
1977-04-30 0 0.0014 0.0352612126660673 0.0497051609873193 0.00390635282263938 0.00647249190938509 0.0285132762033595
1977-05-31 0.0156120188313487 -0.015 -0.0114164477672257 -0.0355579573088354 0.00385447448724941 0.00643086816720266 -0.00402474658426104
1977-06-30 0.0133879781420765 0.0475 0.0485436893203883 -0.0248103228664785 0.00433062254979477 0.00320512820512814 0.0219845839807452
1977-07-31 0 -0.0151 0.0320989951618906 -0.0930718242077545 0.00428728095162937 0.00319488817891378 -0.0151422368201303
1977-08-31 0.00875968008124918 -0.0133 0.0108595619363150 0.00971135689236582 0.00451277851459944 0.00318471337579611 0.0424272937274182
1977-09-30 0.000372253572365222 0 -0.0157988220996541 0.0351937536148063 0.0047385766836438 0.00317460317460322 0.0289871743256455
1977-10-31 -0.0041542774615581 -0.0415 -0.0113453720336580 0.0279690794096978 0.00505171768975552 0.0063091482649842 0.0245667577377713
1977-11-30 0.00844059572747498 0.037 0.0624889204041836 0.0407690026154717 0.00522593502588881 0.00314465408805036 -0.00834969141215004
1977-12-31 0 0.0048 0.00221101972229592 0.0487097932591187 0.00519979102101243 0.00624999999999998 0.0360184973115640
1978-01-31 -0.00704948210483456 -0.0596 -0.0331688596491228 0.0312352458812713 0.00528695336796142 0.00621118012422369 0.0129292711809668
1978-02-28 0.00387865472367757 -0.0161 0.0112034694615107 0.0155099444675489 0.00553124624677199 0.00923076923076914 0.0116245045620195
1978-03-31 0.00382174183881335 0.0276 0.0371465854719443 0.0935760693615984 0.00553997749417235 0.00611620795107042 0.0681562417890765
1978-04-30 0 0.087 0.00527864312911041 0.0210350366864933 0.00544395844590125 0.009090909090909 -0.0070041435774549
1978-05-31 -0.00215119074734894 0.0136 -0.0179704016913320 0.0708566126787551 0.00537416048881646 0.0119760479041916 0.0203309091442629
1978-06-30 -0.000633103727714773 -0.0152 -0.00238410596026487 -0.103005628601304 0.0055923744033412 0.00595238095238104 0.0434605650341275
1978-07-31 0.0102017796716381 0.056 0.0253033823909114 0.0265300818642526 0.00595960572664992 0.00591715976331348 0.080393557157853
1978-08-31 0.0148896241789718 0.034 0.0405450041288191 0.0265632246911497 0.00587209772874105 0.0087976539589444 0.0201827746678358
1978-09-30 0 -0.0048 0.0134419551934827 0.0532513672108898 0.00623993416383114 0.00872093023255806 0.0292495294213929
1978-10-31 -0.0129902614727854 -0.0891 -0.117839905290957 0.00993972927576332 0.00686356552756142 0.00289855072463772 0.0547288698753331
1978-11-30 0.0101186840758654 0.026 0.0062443438914027 0.0252335548492728 0.00663492854910248 0.005763688760807 -0.102149483305481
1978-12-31 0 0.0172 0.0063843179570182 -0.0118305137600373 0.00745416138596026 0.00857142857142849 0.0475478930314522
1979-01-31 0.00813713612102557 0.0421 0.0710825258937521 0.067279899652784 0.00800250770919106 0.0112994350282485 0.00630646261110961
1979-02-28 -0.00366444827869536 -0.0284 -0.00217646073999669 0.0552989060433803 0.00808225268083943 0.00840336134453793 -0.00501613923537329
1979-03-31 0 0.0575 0.073666253101737 -0.0180785033656787 0.00814430224411077 0.0138121546961326 0.0228512784749436
1979-04-30 0.00911022641232933 0.0036 0.0148957298907646 0.0564528102677465 0.00818863713416625 0.0109289617486338 -0.0037106563049341
1979-05-31 0.0186006375991755 -0.0168 -0.00137688365333135 -0.049445127335053 0.0079847916495426 0.0108108108108108 -0.0209975351955398
1979-06-30 0 0.041 0.0721129959542906 0.0132059999316637 0.0083483378489238 0.0106951871657754 0.0177647664136630
