"Index" "weights/EqualWeight" "weights/MinRisk" "weights/MinRisk_PositionLimit" "weights/MinRisk_RiskLimit" "weights/MinRiskConc" "weights/MinRiskConc_PositionLimit" "weights/EqualRisk" "weights/MinRisk_ReturnTarget" "weights/MinRiskConc_ReturnTarget"
1984-01-31 0.0173190076082603 0.0201809626474290 0.0156905831975223 0.0188959152880799 0.0184197102550905 0.0175068157753402 0.0184422659719798 0.0196795042286426 0.0184286751718941
1984-02-29 0.0113386068502543 0.0143712982295627 0.0050221434285973 0.0123606059712396 0.0115936321617498 0.0100902469097846 0.0116286902910043 0.0128553303329713 0.0116023882880008
1984-03-31 0.0499724174258724 0.030033433989207 0.0313403954260276 0.0340969969312068 0.0368902462670457 0.0395884826341188 0.0369747130778391 0.0284613277635393 0.0369581403995338
1984-04-30 0.0418943812496135 0.020071283166065 0.0250851702614134 0.0246271519640793 0.028474611988367 0.0318376774263234 0.0285462236303293 0.0189044801555103 0.0290973565657668
1984-05-31 -0.00245814854966242 -0.0165355514149825 -0.0259848705651692 -0.0151692065872949 -0.0132311040537559 -0.0129659210230562 -0.0132217271928783 -0.0352343760828034 -0.0222386792431137
1984-06-30 -0.00330354403006461 -0.0179313474777688 -0.0215002590749421 -0.0162609081726754 -0.0129807137468539 -0.0120197437897072 -0.0129788656995764 -0.0328448921149019 -0.0189852965186657
1984-07-31 -0.0284984318503614 -0.00727842394870803 -0.0297615422256866 -0.0143556074024563 -0.0194190805533437 -0.0214240094944247 -0.0194982231702062 -0.0263394722613605 -0.0168185990648955
1984-08-31 0.0312094491063641 0.0203242506898624 0.0175648964620696 0.0228969935740508 0.0280328561261871 0.0281066019592680 0.0279658386563695 0.0273553223235605 0.0364882719594624
1984-09-30 0.027215559747074 0.0179681890420864 0.0147936401608344 0.0203795931531372 0.0250738630764142 0.0250156738288638 0.0250001723636102 0.0260156267767453 0.0343231595551805
1984-10-31 0.0513141313372896 0.0624430948935415 0.0439226679024449 0.0570077571714522 0.0590013046490359 0.0562699740914872 0.0589456787683034 0.0708427980657393 0.0685430746610483
1984-11-30 0.0559235918075296 0.0757925516546238 0.0495908242383596 0.0670143126780629 0.0674703606981868 0.063554564380504 0.0674170353205779 0.0842981740351147 0.0770758016353938
1984-12-31 0.0660552374384751 0.0854311510059267 0.0625436397599926 0.0760587509709685 0.078813012556953 0.0749461799616535 0.0787856773177695 0.0940127058522653 0.0885488553248681
1985-01-31 0.101707376505459 0.115831218676001 0.103694999366176 0.110449418409163 0.113462530513350 0.110325083226867 0.113413505099323 0.124653413009575 0.123507561940704
1985-02-28 0.0947627762133318 0.0996373096880356 0.09670372882712 0.0983678278720181 0.103053879523364 0.100799906377283 0.102993400500981 0.108331384983342 0.112993018693274
1985-03-31 0.125895936588720 0.109215049150525 0.112382674047455 0.112069269041657 0.124875737252208 0.123672203945168 0.124821697459542 0.117983614479242 0.134950998929237
1985-04-30 0.125979932047158 0.133874124763131 0.122867099139522 0.127452913816549 0.136416701988559 0.132951089258975 0.136354131018053 0.143036253964077 0.146584702799111
1985-05-31 0.169455843271907 0.184808906826970 0.174409011633484 0.176432886383921 0.184511930345777 0.180506034425588 0.184439910762342 0.195283679870610 0.195103169737582
1985-06-30 0.173428117925406 0.183458416563144 0.178708906785693 0.175962563486836 0.187261117155566 0.183720506853480 0.187185705819523 0.194698683615441 0.197870223680368
1985-07-31 0.182610440311481 0.182783522719867 0.176533557744633 0.172817359714262 0.19293040925988 0.189344474784160 0.192841065965605 0.194579529882763 0.203578695542382
1985-08-31 0.194722616282218 0.186089481135831 0.181190225805183 0.177044031676227 0.201145666326007 0.197688642342082 0.201033557230345 0.197635694545657 0.211870073790652
1985-09-30 0.225854207336844 0.214471356623162 0.203540535594350 0.203951602722615 0.230215658759217 0.226509292109793 0.230071962440753 0.225114846350398 0.241198854395026
1985-10-31 0.286186282696909 0.253414742873695 0.256520938490001 0.252339986757948 0.282120724500494 0.279998658481389 0.28200626291829 0.263117456260227 0.292862238940657
1985-11-30 0.327654602434329 0.264032170918063 0.285359642433415 0.271325499621437 0.312181107800713 0.312136795514677 0.311975316478904 0.274043327371617 0.32386127874335
1985-12-31 0.369730583190094 0.313045278799559 0.321052423258628 0.308300021569355 0.357263768473756 0.355909949281067 0.356978466726483 0.326588333056708 0.371419941864007
1986-01-31 0.347112160705415 0.308067639499365 0.296761233949101 0.281224587732130 0.338823045426411 0.335466929484697 0.338552405165543 0.330538339589959 0.359863924561242
1986-02-28 0.410731139945402 0.35662625178549 0.347088997607947 0.319648042227306 0.394093248037593 0.392363640989848 0.393803932512517 0.388573333299239 0.422306674185971
1986-03-31 0.489277730118595 0.401056059785789 0.400853856856449 0.362218525385834 0.455953177309184 0.457751592299992 0.45565406846863 0.440765770824364 0.489198525156221
1986-04-30 0.528857915924378 0.41181150567197 0.413252406728527 0.373451724070102 0.482458066204759 0.48622658543774 0.482314193293854 0.451825310214902 0.516365051748086
1986-05-31 0.515451659374575 0.410847711474769 0.429407110556299 0.38425526485142 0.477505266619933 0.480867131784412 0.477163390746822 0.450834987656877 0.511204965750821
1986-06-30 0.562104570641359 0.42693210335872 0.457884010719794 0.407515590326740 0.511801796654753 0.5175512085251 0.511500548453435 0.467374660393575 0.546235022206267
1986-07-31 0.569938008840298 0.43678548401466 0.441743275129294 0.398027443021237 0.516138643871613 0.521154535232254 0.51592485810984 0.478940868657737 0.549704110666922
1986-08-31 0.665825842718399 0.451357760017888 0.508816110091018 0.44534218908207 0.582234934685958 0.594689049133333 0.581924454771141 0.503816986262911 0.615992190543368
