"Index" "weights/EqualWeight" "weights/MinRisk" "weights/MinRisk_PositionLimit" "weights/MinRisk_RiskLimit" "weights/MinRiskConc" "weights/MinRiskConc_PositionLimit" "weights/EqualRisk" "weights/MinRisk_ReturnTarget" "weights/MinRiskConc_ReturnTarget"
1984-01-31 0.0173190076082603 0.0201809626474290 0.0156905831975223 0.0188959152880799 0.0184197102550905 0.0175068157753402 0.0184422659719798 0.0196795042286426 0.0184286751718941
1984-02-29 -0.00587858942306219 -0.00569473910078644 -0.0105036316624492 -0.00641410885918858 -0.00670261781523351 -0.00728896234459542 -0.00669019335570564 -0.00669246941550883 -0.0067027638265793
1984-03-31 0.0382006682172853 0.0154402394734356 0.0261867384410521 0.021470996433246 0.02500669567407 0.0292035645474051 0.0250546697914862 0.0154079234844304 0.0250649389573350
1984-04-30 -0.0076935698902102 -0.00967167714601236 -0.00606514123984281 -0.00915759836381913 -0.00811622474893192 -0.00745564743864469 -0.0081279604422495 -0.0092923742974479 -0.00758061827909295
1984-05-31 -0.0425691227416746 -0.0358865455631967 -0.0498202903604185 -0.0388398438154697 -0.0405510408871372 -0.0434211692687279 -0.0406087250758499 -0.0531343784356024 -0.0498845279130787
1984-06-30 -0.000847478708961513 -0.00141926438194528 0.00460425239270079 -0.00110851690735370 0.000253747668710114 0.000958606448856925 0.000246115566175709 0.00247675073475317 0.0033273792441797
1984-07-31 -0.0252783961148717 0.0108474326124768 -0.00844280565974842 0.00193679481281972 -0.0065230405283474 -0.00951867777276294 -0.00660508396838999 0.00672634596095656 0.00220862892888474
1984-08-31 0.0614593768185547 0.0278050515919726 0.0487781517095509 0.0377951736511506 0.0483916581879935 0.0506149874248427 0.0484079304578506 0.0551473465907355 0.054218754518401
1984-09-30 -0.00387301470399748 -0.00230913030459001 -0.00272341971590262 -0.00246104977991746 -0.00287830591419314 -0.00300642766471282 -0.00288498526043979 -0.00130402356196047 -0.00208889233275056
1984-10-31 0.0234600920532679 0.0436898778667203 0.0287043853930675 0.0358966057966017 0.0330975579367518 0.0304915339936953 0.0331175616550543 0.0436905346459682 0.0330843554934845
1984-11-30 0.00438447494696637 0.0125648675446659 0.00542967071239464 0.0094668704545633 0.00799721021302968 0.00689652311217337 0.00799980274920986 0.0125652205848326 0.00798538418963823
1984-12-31 0.0095950556551181 0.00895953344952827 0.0123408238929987 0.00847639828767166 0.010625730021532 0.0107108896549986 0.0106506094815859 0.00895928080465058 0.0106520392270013
1985-01-31 0.0334430504301533 0.0280073661437679 0.0387291006847292 0.0319598417903875 0.0321181868897489 0.0329122554456407 0.0320988946271981 0.0280076337261916 0.0321149633705717
1985-02-28 -0.00630348896651212 -0.0145128660293089 -0.0063344225923565 -0.0108799107252021 -0.00934800292308668 -0.00857872797208337 -0.00935870146232232 -0.0145129404645257 -0.00935867599259188
1985-03-31 0.0284382708764304 0.00870990769238866 0.0142964273834498 0.0124743649822523 0.0197831294861799 0.0207778883658858 0.0197900521876617 0.0087087938018151 0.0197287672673305
1985-04-30 7.46032166105692e-05 0.0222311044476819 0.00942519632557581 0.0138333512157462 0.0102597685718981 0.00825764425001263 0.0102526770105504 0.0224087716137986 0.0102504018947507
1985-05-31 0.0386116217415213 0.0449210198481951 0.045902059587871 0.0434430316043706 0.0423218246203692 0.0419744026176072 0.0423158401344563 0.0457093339999828 0.0423156412430981
1985-06-30 0.00339668631043510 -0.00113983804142981 0.003661326769137 -0.000399787274334207 0.00232094480381173 0.00272296145394679 0.00231822233633894 -0.000489420432170595 0.00231532641938692
1985-07-31 0.00782521080397203 -0.000570272545137085 -0.00184553542315458 -0.00267457814579419 0.00477510130029057 0.00475109445018407 0.00476366933863881 -9.97353845889615e-05 0.00476551779079593
1985-08-31 0.0102418983951695 0.00279506634346882 0.00395795600550231 0.00360386203952001 0.0068866188692629 0.00701577022875233 0.00686804931393614 0.00255836014802124 0.00688893736568952
1985-09-30 0.026057589126004 0.0239289496608235 0.0189218546690320 0.0228602926672752 0.0242018876212811 0.0240635577134238 0.0241778466851266 0.0229444996753922 0.0242012582360711
1985-10-31 0.0492163546031592 0.0320661216406246 0.0440204557543113 0.0401913033097905 0.0421918428461785 0.0436110567736390 0.04222053836142 0.0310196305456907 0.0416237771753447
1985-11-30 0.0322413015091931 0.00847080194702787 0.0229512322954764 0.0151600308735964 0.0234458290282535 0.0251079458719252 0.0233766826477071 0.0086499248800962 0.0239770633475167
1985-12-31 0.0316919631646790 0.0387752060502522 0.0277687112982954 0.0290834424063133 0.0343570414213659 0.0333602059754912 0.0343018269340303 0.041242714871788 0.0359242043590862
1986-01-31 -0.0165130448003878 -0.00379091214946115 -0.0183877557633999 -0.0206951260344301 -0.0135866907197280 -0.0150769745492384 -0.0135787427824039 0.00297756767101154 -0.0084263156382709
1986-02-28 0.0472261932567464 0.0371224016402625 0.038810354860455 0.0299896324680982 0.0412826794399701 0.0426043582577553 0.041277074497611 0.0436176786361264 0.045918380873937
1986-03-31 0.0556779303646997 0.0327502198500311 0.0399118835830246 0.0322589673885141 0.0443728777530972 0.0469618348146883 0.0443750620251295 0.037587094806953 0.0470305400264919
1986-04-30 0.0265767660425777 0.00767667061646793 0.00885070902392404 0.00824625306067306 0.0182044926366112 0.0195335016529268 0.0183148767297925 0.00767615362225738 0.0182423808061551
1986-05-31 -0.00876880474644837 -0.000682664926110688 0.0114308694970968 0.00786597780758003 -0.00334093739157570 -0.00360608113583794 -0.00347483858033215 -0.000682122395206708 -0.00340293123434610
