"Index" "weights/mES/tact_EqualWeight_CC" "weights/mES/tact_MinRisk_PositionLimit_CC" "weights/mES/tact_MinRisk_RiskLimit_CC" "weights/mES/tact_EqualRisk_CC" "weights/mES/tact_MinRiskConc_CC" "weights/mES/tact_MinRiskConc_PositionLimit_CC"
1984-01-31 0.00833556571277327 0.00833556571277327 0.00833556571277327 0.00833556571277327 0.00833556571277327 0.00833556571277327
1984-02-29 -0.0171564298959377 -0.0171564298959377 -0.0171564298959377 -0.0171564298959377 -0.0171564298959377 -0.0171564298959377
1984-03-31 0.0116891405878372 0.0116891405878372 0.0116891405878372 0.0116891405878372 0.0116891405878372 0.0116891405878372
1984-04-30 -0.00270552601958007 -0.00270552601958007 -0.00270552601958007 -0.00270552601958007 -0.00270552601958007 -0.00270552601958007
1984-05-31 -0.0373303903932739 -0.0373303903932739 -0.0373303903932739 -0.0373303903932739 -0.0373303903932739 -0.0373303903932739
1984-06-30 0.00575738219334343 0.00575738219334343 0.00575738219334343 0.00575738219334343 0.00575738219334343 0.00575738219334343
1984-07-31 0.0161549651613035 0.0161549651613035 0.0161549651613035 0.0161549651613035 0.0161549651613035 0.0161549651613035
1984-08-31 0.0521067463302756 0.0521067463302756 0.0521067463302756 0.0521067463302756 0.0521067463302756 0.0521067463302756
1984-09-30 0.00808881267766703 0.00808881267766703 0.00808881267766703 0.00808881267766703 0.00808881267766703 0.00808881267766703
1984-10-31 0.024624440526535 0.0309966553963705 0.034076001306685 0.0285151965521033 0.0285166959345471 0.0285260379967833
1984-11-30 0.00651546292783522 0.00674479352798851 0.0077393065260718 0.00712469093766699 0.00712513678692672 0.00712726888024928
1984-12-31 0.0080199043960183 0.0146839175154583 0.0157081557200116 0.0105825631684993 0.010580925987109 0.0105893622139335
1985-01-31 0.0412644561281394 0.0506434640503799 0.0519571430343284 0.0463426034094525 0.0463494085887666 0.0463443535897687
1985-02-28 -0.000778929069440548 0.00474297021558856 0.00525947559313367 0.00211298449958686 0.00211444508315095 0.00211832151817903
1985-03-31 0.00867833671803186 0.00650052079164976 0.00613238985727182 0.00757398489737282 0.00756988484867427 0.00757972660481498
1985-04-30 0.00108195442195669 0.00142962911650479 0.00144717174827003 0.000800975665661285 0.000811486757715585 0.000805285014251478
1985-05-31 0.034983266564792 0.0411983331313932 0.0415848975097755 0.0375011769783515 0.037514982403146 0.037505723532993
1985-06-30 0.00268253393628815 0.00791107671686508 0.00811348052856942 0.00490738617213449 0.00491497207442859 0.00490978976368961
1985-07-31 -0.00224123870501036 8.80437620882635e-05 9.28184721027403e-05 -0.00148180741218751 -0.00148290538590867 -0.00148216911262167
1985-08-31 -0.0125398623155614 -0.0143505695374567 -0.0143544779743473 -0.0133393720613628 -0.013340748464269 -0.0133433949908902
1985-09-30 0.00391169729209229 -0.00749491011369152 -0.00749926268885148 -0.000493598606196133 -0.000497297292342713 -0.000495133350603361
1985-10-31 0.040838017455461 0.0395819949794745 0.0395869891316327 0.0404707091539225 0.0404705580613369 0.040467170329431
1985-11-30 0.0183101281890485 0.0272665204330194 0.0272854233679078 0.0215419548994138 0.0215307019826321 0.0215285378909573
1985-12-31 0.0219720037301248 0.0286727408248579 0.0286757613142359 0.0241455360741607 0.0241393543888639 0.0241418948553225
1986-01-31 -0.0133904596497953 -0.00225296213927506 -0.00225171810878011 -0.00932209488201841 -0.00933140478889305 -0.00932126394359023
1986-02-28 0.0307001203734729 0.0433448184488383 0.0433462762816847 0.0352560498117696 0.0352549446193355 0.0352639112455526
1986-03-31 0.0285155095785286 0.0351297394129679 0.0351305034131284 0.0309052641635998 0.0309061635146957 0.0309104814223955
1986-04-30 0.0126413602971889 0.00344572953484312 0.00344574315304325 0.00947710553928949 0.00947709487820125 0.00947333201881295
1986-05-31 0.00181589776840152 0.0139333485456603 0.0139334663103627 0.00615231697819119 0.00615348562858919 0.00615358338670835
1986-06-30 0.0232755528086359 0.0190261105884206 0.0190261684263935 0.0219620392121271 0.0219621058097921 0.0219598627881241
1986-07-31 -0.00843136426822144 -0.0132864305682318 -0.0132335681333314 -0.010449929530193 -0.0104382679038404 -0.0104461204614128
1986-08-31 0.0480462334248544 0.03729757003611 0.0368584110137247 0.0449414607290046 0.0449381571826646 0.0449388663277763
1986-09-30 -0.0296105929148697 -0.028034702907198 -0.0277596676517592 -0.0296771921686663 -0.0296648403088891 -0.0296729360431781
1986-10-31 0.0288854818776079 0.0313143197044818 0.0312479009282591 0.0298563514003165 0.0298508362720904 0.0298555853489795
1986-11-30 0.0123781660058699 0.00919257996695699 0.0087316743713699 0.0112415039623861 0.0112427276399325 0.0112400249608369
1986-12-31 -0.00685120127135419 -0.0042395011690306 -0.0037207754565648 -0.00597290711230747 -0.00596854228634192 -0.00597131544550211
1987-01-31 0.0523322709170453 0.0486380342533941 0.045401178892813 0.049331587690796 0.0493317085341436 0.049326725665376
1987-02-28 0.00234411107293719 0.0148973939674155 0.0163211440241084 0.00722028750004022 0.00723163705123642 0.00721949146194101
1987-03-31 0.0287120308803066 0.0196562420000361 0.0177831556173913 0.0246900389001252 0.0246828982670009 0.0246890539991398
1987-04-30 -0.00394546108135474 -0.016132671219289 -0.0197110787756756 -0.0100397905233665 -0.0100487355665784 -0.0100413244397164
1987-05-31 0.0118181349405835 0.00438200340545891 0.00229458395865301 0.00823328801486056 0.00822826359391082 0.00823227838948193
1987-06-30 0.0287563116960199 0.0256838326309461 0.0238228874855597 0.0265965692201406 0.0265951797034945 0.0265964230840496
