"Index" "weights/mES/tact_EqualWeight_CC" "weights/mES/tact_MinRisk_PositionLimit_CC" "weights/mES/tact_MinRisk_RiskLimit_CC" "weights/mES/tact_EqualRisk_CC" "weights/mES/tact_MinRiskConc_CC" "weights/mES/tact_MinRiskConc_PositionLimit_CC"
1984-01-31 0.00833556571277327 0.00833556571277327 0.00833556571277327 0.00833556571277327 0.00833556571277327 0.00833556571277327
1984-02-29 -0.00896387273195853 -0.00896387273195853 -0.00896387273195853 -0.00896387273195853 -0.00896387273195853 -0.00896387273195853
1984-03-31 0.00262048788730329 0.00262048788730329 0.00262048788730329 0.00262048788730329 0.00262048788730329 0.00262048788730329
1984-04-30 -9.21279304398892e-05 -9.21279304398892e-05 -9.21279304398892e-05 -9.21279304398892e-05 -9.21279304398892e-05 -9.21279304398892e-05
1984-05-31 -0.0374190791521043 -0.0374190791521043 -0.0374190791521043 -0.0374190791521043 -0.0374190791521043 -0.0374190791521043
1984-06-30 -0.0318771328987626 -0.0318771328987626 -0.0318771328987626 -0.0318771328987626 -0.0318771328987626 -0.0318771328987626
1984-07-31 -0.0162371417088808 -0.0162371417088808 -0.0162371417088808 -0.0162371417088808 -0.0162371417088808 -0.0162371417088808
1984-08-31 0.0350235399972414 0.0350235399972414 0.0350235399972414 0.0350235399972414 0.0350235399972414 0.0350235399972414
1984-09-30 0.0433956515292548 0.0433956515292548 0.0433956515292548 0.0433956515292548 0.0433956515292548 0.0433956515292548
1984-10-31 0.0690886856959823 0.0757374269817788 0.0789504031141552 0.0731482836142214 0.0731498480633432 0.0731595955304569
1984-11-30 0.0760542933942026 0.0829930538171004 0.0873007310102845 0.0807941334652604 0.0807961875236642 0.0808082925192219
1984-12-31 0.084684145952149 0.0988956344891652 0.104380220207476 0.0922317056548001 0.0922320119910016 0.0922533630125311
1985-01-31 0.12944304730568 0.154547516049537 0.161760661273079 0.14284856642119 0.142856319788503 0.142873139077598
1985-02-28 0.128563291283856 0.160023500530641 0.167870913116108 0.145263387727413 0.145272826714628 0.145294111840655
1985-03-31 0.138357343533228 0.167564257414643 0.175032752858304 0.153937595329575 0.153942410133173 0.153975128090511
1985-04-30 0.13958899429483 0.169233441272433 0.176733227061532 0.154861871263126 0.154878819118163 0.154904406967981
1985-05-31 0.17945553985655 0.217403910094341 0.225667557705234 0.198170550682914 0.198204077695147 0.198219932362758
1985-06-30 0.182619469368558 0.227034885822508 0.235611987569174 0.204050436275194 0.204093217276485 0.204102940321321
1985-07-31 0.17996893684051 0.22714291859007 0.235726675185972 0.202266265414074 0.202307660959449 0.20231825613476
1985-08-31 0.165172288835891 0.209532718804445 0.217988463844702 0.186228788382891 0.186267976877926 0.186275248738396
1985-09-30 0.169730090122951 0.200467379797437 0.20885444840234 0.185643267506315 0.185678049025032 0.18568788429975
1985-10-31 0.21749954796157 0.247984273597602 0.256709356312969 0.23362709134587 0.233663101350152 0.233669317871251
1985-11-30 0.239792120754856 0.282012462293738 0.290999203150379 0.260201830510338 0.260224733932292 0.260228414525954
1985-12-31 0.267032837856661 0.318771273359324 0.328019588156788 0.290630079269648 0.290645745394295 0.290652716403129
1986-01-31 0.250066685766375 0.315800131610082 0.325029262401321 0.278598703213109 0.278602207504958 0.278622201774023
1986-02-28 0.288443883494272 0.372833249429679 0.382464346890685 0.323677042782855 0.323679257520705 0.323711421613976
1986-03-31 0.325184517395449 0.421060523739601 0.431031015347657 0.364585631457352 0.364589105094651 0.364627978920387
1986-04-30 0.341936652340101 0.42595711395705 0.435961980670584 0.377517953504071 0.377521445513393 0.377555552846862
1986-05-31 0.344373472112422 0.445825471436978 0.455969908551219 0.385992880597177 0.385998003931433 0.386032455811128
1986-06-30 0.375664507857103 0.473333906748093 0.483671437255075 0.416432110588581 0.416437438745936 0.416469538360627
1986-07-31 0.364065779280497 0.453758558092263 0.464037170202683 0.401630494848628 0.401652285291276 0.40167292693299
1986-08-31 0.429604002118663 0.507980219728303 0.517999253961384 0.464621816689443 0.464639956003137 0.464662519231695
1986-09-30 0.387272579982459 0.465704442278289 0.475860099175797 0.421155953581129 0.421191645598285 0.421201681973692
1986-10-31 0.427344616950845 0.511601979776071 0.521977629338813 0.4635864851259 0.463615404722302 0.463632490087971
1986-11-30 0.445012525567047 0.525497501853373 0.535267042398709 0.480039398397737 0.480070434087205 0.480083755810051
1986-12-31 0.43511245391476 0.519030153410912 0.529554658468079 0.471199260548552 0.471236571114591 0.471245708818346
1987-01-31 0.510215147649453 0.592912794044451 0.598998243143524 0.543775855880937 0.543815184825589 0.543817442283591
1987-02-28 0.513755259699575 0.616643043493067 0.625095723764166 0.554922361396018 0.554979495916435 0.554963019126953
1987-03-31 0.557218247461296 0.648420170383642 0.653995053913021 0.59331345498556 0.593360896621413 0.593353585072843
1987-04-30 0.551074303470762 0.621826749743599 0.621393027110764 0.577316921659444 0.577349634309138 0.577354204777942
1987-05-31 0.569405108892051 0.628933600084039 0.625113449541444 0.590303426166179 0.590328482879992 0.590339423710493
1987-06-30 0.614535411380677 0.670770858035522 0.663828344401139 0.632600041321235 0.632623554669771 0.632636763870742
1987-07-31 0.651581070596452 0.705297029931191 0.698211393035277 0.668953680466189 0.66897140976219 0.668992985697229
1987-08-31 0.648889440069079 0.701063001880107 0.693996126133557 0.665283406997413 0.665297825020868 0.665334886765548
1987-09-30 0.62474669745952 0.675751999802993 0.668789843094816 0.641215205758898 0.641227729774956 0.641263186712425
1987-10-31 0.62699682101519 0.678072760974019 0.671100962324221 0.643488136671869 0.643500678032527 0.643536184074567
