"Index" "Bond" "SP500" "EAFE" "SPGSCI" "TBill" "Inflation"
1976-01-31 0 0.1199 0.0502967501844663 -0.0502540197978317 0.00452145749717339 0.00349650349650355
1976-02-29 0 -0.0058 -0.0075963279027669 0.0540995788952192 0.00403611833932707 0
1976-03-31 0.0366645473286708 0.0326 -0.0170762018108533 0.00205176377524531 0.0041919684837098 0.00348432055749122
1976-04-30 0.00393413679281489 -0.0099 -0.00451786339407788 0.0370626041418711 0.00416598348802935 0.00692041522491347
1976-05-31 -0.00795991991720903 -0.0073 -0.0277438362115781 0.0177694645779751 0.00417464470989172 0.00687285223367707
1976-06-30 0.0142157049692994 0.0427 0.0165562913907284 -0.0169773635153129 0.00468644270139275 0.0034246575342465
1976-07-31 0 -0.0068 -0.0117936317090635 -0.0971225836746407 0.00457354073288157 0.00680272108843535
1976-08-31 0.0277175222945288 0.0014 0.000675009787641882 -0.0289357133270701 0.00442601314080616 0.00338983050847462
1976-09-30 0.0128660322108346 0.0247 -0.0174722874685786 -0.109671462186876 0.00437397524712028 0.00337837837837843
1976-10-31 0 -0.0206 -0.0680584489891728 -0.0124852981091108 0.00432195334236529 0.00336700336700330
1976-11-30 0.0338266758615811 -9e-04 0.012187875889454 0.0140639866793531 0.0041919684837098 0.00335570469798662
1976-12-31 0.0147475152222581 0.054 0.101236722652409 0.0478724910115223 0.00393229796091966 0.00666666666666664
1977-01-31 -0.0199006743130270 -0.0489 -0.00583649941045455 -0.00266825626614436 0.00370757227577578 0.00990099009900992
1977-02-28 0.00218075439918452 -0.0151 0.0217175374401631 -0.00247567013829607 0.00403611833932707 0.0065573770491803
1977-03-31 0.00829025565284662 -0.0119 0.00325119125180435 0.0351171027703796 0.00402746420648729 0.006514657980456
1977-04-30 0 0.0014 0.0285132762033595 0.0497051609873193 0.00390635282263938 0.00647249190938509
1977-05-31 0.0156120188313487 -0.015 -0.00402474658426104 -0.0355579573088354 0.00385447448724941 0.00643086816720266
1977-06-30 0.0133879781420765 0.0475 0.0219845839807452 -0.0248103228664785 0.00433062254979477 0.00320512820512814
1977-07-31 0 -0.0151 -0.0151422368201303 -0.0930718242077545 0.00428728095162937 0.00319488817891378
1977-08-31 0.00875968008124918 -0.0133 0.0424272937274182 0.00971135689236582 0.00451277851459944 0.00318471337579611
1977-09-30 0.000372253572365222 0 0.0289871743256455 0.0351937536148063 0.0047385766836438 0.00317460317460322
1977-10-31 -0.0041542774615581 -0.0415 0.0245667577377713 0.0279690794096978 0.00505171768975552 0.0063091482649842
1977-11-30 0.00844059572747498 0.037 -0.00834969141215004 0.0407690026154717 0.00522593502588881 0.00314465408805036
1977-12-31 0 0.0048 0.0360184973115640 0.0487097932591187 0.00519979102101243 0.00624999999999998
1978-01-31 -0.00704948210483456 -0.0596 0.0129292711809668 0.0312352458812713 0.00528695336796142 0.00621118012422369
1978-02-28 0.00387865472367757 -0.0161 0.0116245045620195 0.0155099444675489 0.00553124624677199 0.00923076923076914
1978-03-31 0.00382174183881335 0.0276 0.0681562417890765 0.0935760693615984 0.00553997749417235 0.00611620795107042
1978-04-30 0 0.087 -0.0070041435774549 0.0210350366864933 0.00544395844590125 0.009090909090909
1978-05-31 -0.00215119074734894 0.0136 0.0203309091442629 0.0708566126787551 0.00537416048881646 0.0119760479041916
1978-06-30 -0.000633103727714773 -0.0152 0.0434605650341275 -0.103005628601304 0.0055923744033412 0.00595238095238104
1978-07-31 0.0102017796716381 0.056 0.080393557157853 0.0265300818642526 0.00595960572664992 0.00591715976331348
1978-08-31 0.0148896241789718 0.034 0.0201827746678358 0.0265632246911497 0.00587209772874105 0.0087976539589444
1978-09-30 0 -0.0048 0.0292495294213929 0.0532513672108898 0.00623993416383114 0.00872093023255806
1978-10-31 -0.0129902614727854 -0.0891 0.0547288698753331 0.00993972927576332 0.00686356552756142 0.00289855072463772
1978-11-30 0.0101186840758654 0.026 -0.102149483305481 0.0252335548492728 0.00663492854910248 0.005763688760807
1978-12-31 0 0.0172 0.0475478930314522 -0.0118305137600373 0.00745416138596026 0.00857142857142849
1979-01-31 0.00813713612102557 0.0421 0.00630646261110961 0.067279899652784 0.00800250770919106 0.0112994350282485
1979-02-28 -0.00366444827869536 -0.0284 -0.00501613923537329 0.0552989060433803 0.00808225268083943 0.00840336134453793
1979-03-31 0 0.0575 0.0228512784749436 -0.0180785033656787 0.00814430224411077 0.0138121546961326
1979-04-30 0.00911022641232933 0.0036 -0.0037106563049341 0.0564528102677465 0.00818863713416625 0.0109289617486338
1979-05-31 0.0186006375991755 -0.0168 -0.0209975351955398 -0.049445127335053 0.0079847916495426 0.0108108108108108
1979-06-30 0 0.041 0.0177647664136630 0.0132059999316637 0.0083483378489238 0.0106951871657754
1979-07-31 0.0202744487150383 0.011 0.0118201166640391 -0.0435542243853739 0.00763085521549936 0.0105820105820105
1979-08-31 -0.00174869044258335 0.0611 0.0237520825878341 0.103275727006763 0.00802908523801288 0.0104712041884818
1979-09-30 0 0.0025 0.0422645764698080 0.0412023482886004 0.00843712484922772 0.00779220779220772
1979-10-31 -0.071342160091404 -0.0656 -0.0864910313901347 -0.0326874980213379 0.00879273352593675 0.0102827763496144
1979-11-30 0.0252307289150214 0.0514 0.0124979736755746 0.064823175876719 0.0109960577734167 0.0101781170483460
1979-12-31 0.00174124879420560 0.0192 0.0328253761878358 0.0160656024236774 0.00979237561855486 0.0125628140703518
1980-01-31 -0.0271899771597474 0.061 0.0462044037888487 0.0568194307066711 0.0104470701987926 0.0148514851485149
