"","vmu","vrisk","vmaxpercrisk","vmaxriskcontrib"
"1",0.00653127679340443,0.0265675794011755,0.6989,0.0186
"2",0.00654127679340443,0.026723232854264,0.6863,0.0183
"3",0.00655127679340442,0.0268835958081701,0.6736,0.0181
"4",0.00656127679340443,0.0270486224250554,0.6609,0.0179
"5",0.00657127679340442,0.0272182746594500,0.6482,0.0176
"6",0.00658127679340443,0.0273925219213752,0.6355,0.0174
"7",0.00659127679340442,0.0275713406470080,0.6227,0.0172
"8",0.00660127679340443,0.0277547137895072,0.61,0.0169
"9",0.00661127679340442,0.0279426302431832,0.5973,0.0167
"10",0.00662127679340443,0.0281350842144435,0.5846,0.0164
"11",0.00663127679340442,0.0283320745528905,0.5719,0.0162
"12",0.00664127679340443,0.0285336040556252,0.5592,0.016
"13",0.00665127679340442,0.0287396787572471,0.5466,0.0157
"14",0.00666127679340443,0.0289503072172740,0.534,0.0155
"15",0.00667127679340442,0.0291654998157725,0.5213,0.0152
"16",0.00668127679340443,0.0293852680669332,0.5088,0.015
"17",0.00669127679340442,0.0296096239591744,0.5038,0.0149
"18",0.00670127679340443,0.0298385793291552,0.5162,0.0154
"19",0.00671127679340443,0.0300721452758569,0.5287,0.0159
"20",0.00672127679340442,0.0303103316196752,0.541,0.0164
"21",0.00673127679340443,0.0305531464102845,0.5533,0.0169
"22",0.00674127679340442,0.0308005954859126,0.5655,0.0174
"23",0.00675127679340443,0.0310526820856116,0.5777,0.0179
"24",0.00676127679340442,0.0313094065151467,0.5897,0.0185
"25",0.00677127679340443,0.0315707658662591,0.6016,0.019
"26",0.00678127679340442,0.0318367537882918,0.6134,0.0195
"27",0.00679127679340443,0.0321073603105099,0.6251,0.0201
"28",0.00680127679340443,0.0323825717128914,0.6366,0.0206
"29",0.00681127679340443,0.0326623704427142,0.648,0.0212
"30",0.00682127679340442,0.0329467350739093,0.6592,0.0217
"31",0.00683127679340443,0.0332356403058893,0.6703,0.0223
"32",0.00684127679340442,0.0335290569983854,0.6812,0.0228
"33",0.00685127679340443,0.0338269522387224,0.6919,0.0234
"34",0.00686127679340442,0.0341292894379293,0.7025,0.024
"35",0.00687127679340443,0.0344360284521118,0.7128,0.0245
"36",0.00688127679340443,0.0347471257255841,0.723,0.0251
"37",0.00689127679340443,0.0350625344523831,0.7329,0.0257
"38",0.00690127679340443,0.0353822047529347,0.7427,0.0263
"39",0.00691127679340442,0.0357060838628267,0.7522,0.0269
"40",0.00692127679340443,0.0360341163308383,0.7615,0.0274
"41",0.00693127679340442,0.0363662442235927,0.7706,0.028
"42",0.00694127679340443,0.0367024073344202,0.7795,0.0286
"43",0.00695127679340442,0.0370425433942422,0.7882,0.0292
"44",0.00696127679340443,0.0373865882825152,0.7966,0.0298
"45",0.00697127679340443,0.0377344762364908,0.8048,0.0304
"46",0.00698127679340443,0.038086140057266,0.8128,0.031
"47",0.00699127679340442,0.038441511311299,0.8206,0.0315
"48",0.00700127679340443,0.0388005205262635,0.8281,0.0321
"49",0.00701127679340442,0.0391630973802957,0.8354,0.0327
"50",0.00702127679340443,0.0395291708838593,0.8425,0.0333
"51",0.00703127679340442,0.0398986695536080,0.8494,0.0339
"52",0.00704127679340442,0.0402715215777704,0.8561,0.0345
"53",0.00705127679340443,0.0406476549727124,0.8625,0.0351
"54",0.00706127679340443,0.0410269977304441,0.8688,0.0356
"55",0.00707127679340443,0.0414094779569486,0.8748,0.0362
"56",0.00708127679340442,0.0417950240012959,0.8806,0.0368
"57",0.00709127679340443,0.0421835645755871,0.8863,0.0374
"58",0.00710127679340442,0.0425750288658436,0.8917,0.038
"59",0.00711127679340443,0.0429693466340141,0.8969,0.0385
"60",0.00712127679340442,0.0433664483113208,0.902,0.0391
"61",0.00713127679340443,0.0437662650832086,0.9068,0.0397
"62",0.00714127679340443,0.0441687289661925,0.9115,0.0403
"63",0.00715127679340443,0.044573772876927,0.916,0.0408
"64",0.00716127679340442,0.0449813306938367,0.9204,0.0414
"65",0.00717127679340443,0.0453913373116667,0.9246,0.042
"66",0.00718127679340442,0.0458037286893152,0.9286,0.0425
"67",0.00719127679340443,0.0462184418913207,0.9324,0.0431
"68",0.00720127679340443,0.0466354151233721,0.9361,0.0437
"69",0.00721127679340442,0.0470545877622127,0.9397,0.0442
"70",0.00722127679340443,0.0474759003803002,0.9431,0.0448
"71",0.00723127679340443,0.0478992947655804,0.9464,0.0453
"72",0.00724127679340443,0.0483247139367211,0.9495,0.0459
"73",0.00725127679340442,0.048752102154145,0.9525,0.0464
"74",0.00726127679340443,0.0491814049271834,0.9554,0.047
"75",0.00727127679340442,0.0496125690176659,0.9582,0.0475
"76",0.00728127679340443,0.0500455424402439,0.9608,0.0481
"77",0.00729127679340442,0.050480274459731,0.9633,0.0486
"78",0.00730127679340443,0.0509167155857336,0.9657,0.0492
"79",0.00731127679340442,0.0513548175648252,0.968,0.0497
"80",0.00732127679340443,0.0517945333705082,0.9702,0.0503
"81",0.00733127679340442,0.0522358171911886,0.9724,0.0508
"82",0.00734127679340443,0.0526786244163801,0.9744,0.0513
"83",0.00735127679340442,0.0531229116213342,0.9763,0.0519
"84",0.00736127679340443,0.0535686365502857,0.9781,0.0524
"85",0.00737127679340443,0.0540157580984855,0.9799,0.0529
"86",0.00738127679340442,0.0544642362931835,0.9815,0.0535
"87",0.00739127679340443,0.054914032273711,0.9831,0.054
"88",0.00740127679340443,0.0553651082707993,0.9846,0.0545
"89",0.00741127679340443,0.0558174275852643,0.986,0.055
"90",0.00742127679340442,0.056270954566173,0.9874,0.0556
"91",0.00743127679340443,0.0567256545885999,0.9887,0.0561
"92",0.00744127679340442,0.057181494031071,0.9899,0.0566
"93",0.00745127679340443,0.0576384402527861,0.9911,0.0571
"94",0.00746127679340442,0.0580964615707005,0.9922,0.0576
"95",0.00747127679340443,0.0585555272365406,0.9933,0.0582
"96",0.00748127679340442,0.0590156074138195,0.9943,0.0587
"97",0.00749127679340443,0.0594766731549142,0.9952,0.0592
"98",0.00750127679340442,0.0599386963782573,0.9961,0.0597
"99",0.00751127679340443,0.0604016498456926,0.997,0.0602
"100",0.00752127679340442,0.0608655071400372,0.9978,0.0607
"101",0.00753127679340443,0.0613302426428881,0.9985,0.0612
"102",0.00754127679340443,0.061795831512708,0.9992,0.0617
"103",0.00755127679340442,0.0622622496632173,0.9999,0.0623
"104",0.00756127679340443,0.062729473742122,1.0005,0.0628
"105",0.00757127679340443,0.0631974811101936,1.0011,0.0633
"106",0.00758127679340443,0.0636662498207266,1.0017,0.0638
"107",0.00759127679340442,0.0641357585993829,1.0022,0.0643
"108",0.00760127679340443,0.0646059868244406,1.0027,0.0648
"109",0.00761127679340443,0.0650769145074559,1.0031,0.0653
"110",0.00762127679340443,0.065548522274346,1.0036,0.0658
"111",0.00763127679340442,0.0660207913469008,1.004,0.0663
"112",0.00764127679340443,0.0664937035247264,1.0043,0.0668
"113",0.00765127679340443,0.0669672411676232,1.0047,0.0673
"114",0.00766127679340443,0.0674413871784008,1.005,0.0678
"115",0.00767127679340442,0.0679161249861284,1.0053,0.0683
"116",0.00768127679340443,0.0683914385298201,1.0055,0.0688
"117",0.00769127679340442,0.0688673122425523,1.0058,0.0693
"118",0.00770127679340443,0.0693437310360097,1.006,0.0698
"119",0.00771127679340443,0.0698206802854564,1.0062,0.0703
"120",0.00772127679340442,0.0702981458151261,1.0064,0.0707
"121",0.00773127679340443,0.0707761138840266,1.0066,0.0712
"122",0.00774127679340443,0.0712545711721513,1.0067,0.0717
"123",0.00775127679340443,0.0717335047670932,1.0068,0.0722
"124",0.00776127679340442,0.0722129021510519,1.0069,0.0727
"125",0.00777127679340443,0.0726927511882273,1.007,0.0732
"126",0.00778127679340442,0.0731730401125924,1.0071,0.0737
"127",0.00779127679340443,0.0736537575160375,1.0072,0.0742
"128",0.00780127679340442,0.0741348923368762,1.0072,0.0747
"129",0.00781127679340443,0.074616433848707,1.0073,0.0752
"130",0.00782127679340443,0.0750983716496202,1.0073,0.0756
"131",0.00783127679340443,0.0755806956517435,1.0073,0.0761
"132",0.00784127679340442,0.076063396071116,1.0073,0.0766
"133",0.00785127679340442,0.0765464634178838,1.0073,0.0771
"134",0.00786127679340443,0.0770298884868072,1.0073,0.0776
"135",0.00787127679340443,0.0775136623480721,1.0073,0.0781
"136",0.00788127679340443,0.0779977763383981,1.0072,0.0786
"137",0.00789127679340442,0.0784822220524317,1.0072,0.079
"138",0.00790127679340442,0.0789669913344208,1.0071,0.0795
"139",0.00791127679340443,0.0794520762701595,1.0071,0.08
"140",0.00792127679340443,0.0799374691791954,1.007,0.0805
"141",0.00793127679340442,0.0804231626072934,1.0069,0.081
"142",0.00794127679340443,0.0809091493191467,1.0068,0.0815
"143",0.00795127679340443,0.0813954222913278,1.0067,0.0819
"144",0.00796127679340443,0.0818819747054724,1.0066,0.0824
"145",0.00797127679340442,0.0823687999416893,1.0065,0.0829
"146",0.00798127679340442,0.0828558915721882,1.0064,0.0834
"147",0.00799127679340443,0.0833432433551193,1.0063,0.0839
"148",0.00800127679340443,0.083830849228618,1.0062,0.0843
"149",0.00801127679340442,0.0843187033050482,1.0061,0.0848
"150",0.00802127679340442,0.0848067998654372,1.0059,0.0853
"151",0.00803127679340443,0.0852951333540958,1.0058,0.0858
"152",0.00804127679340443,0.0857836983734195,1.0056,0.0863
"153",0.00805127679340443,0.0862724896788622,1.0055,0.0867
"154",0.00806127679340442,0.0867615021740786,1.0053,0.0872
"155",0.00807127679340442,0.0872507309062291,1.0052,0.0877
"156",0.00808127679340443,0.0877401710614419,1.005,0.0882
"157",0.00809127679340443,0.088229817960426,1.0049,0.0887
"158",0.00810127679340442,0.0887196670542324,1.0047,0.0891
"159",0.00811127679340443,0.089209713920157,1.0046,0.0896
"160",0.00812127679340443,0.089699954257779,1.0044,0.0901
"161",0.00813127679340443,0.0901903838851335,1.0042,0.0906
"162",0.00814127679340442,0.0906809987350119,1.004,0.091
"163",0.00815127679340442,0.0911717948513842,1.0039,0.0915
"164",0.00816127679340443,0.0916627683859436,1.0037,0.092
"165",0.00817127679340443,0.0921539155947632,1.0035,0.0925
"166",0.00818127679340442,0.0926452328350669,1.0033,0.093
"167",0.00819127679340442,0.0931367165621062,1.0031,0.0934
"168",0.00820127679340443,0.0936283633261416,1.003,0.0939
"169",0.00821127679340443,0.0941201697695241,1.0028,0.0944
"170",0.00822127679340443,0.0946121326238737,1.0026,0.0949
"171",0.00823127679340442,0.0951042487073516,1.0024,0.0953
