"","V1","V2","V3","V4"
"",0.2982,0.2995,0.2983,0.1039
"",0.2994,0.2916,0.2961,0.1129
"",0.2988,0.2881,0.2996,0.1136
"",0.3001,0.2736,0.2983,0.128
"",0.3001,0.273,0.2963,0.1306
"",0.2971,0.2986,0.2977,0.1066
"",0.2995,0.2958,0.293,0.1117
"",0.3003,0.2718,0.3009,0.1269
"",0.3006,0.2925,0.3009,0.106
"",0.3015,0.2741,0.2929,0.1315
"",0.3018,0.2667,0.295,0.1365
"",0.3015,0.2672,0.2998,0.1314
"",0.3009,0.2873,0.2959,0.1159
"",0.3002,0.2863,0.298,0.1156
"",0.2973,0.2959,0.2983,0.1085
"",0.2979,0.2923,0.2986,0.1112
"",0.3009,0.2831,0.3008,0.1153
"",0.301,0.2758,0.2956,0.1276
"",0.3015,0.2811,0.2985,0.119
"",0.3002,0.2994,0.2999,0.1005
"",0.2995,0.3011,0.2876,0.1117
"",0.3009,0.2808,0.294,0.1243
"",0.3008,0.287,0.2909,0.1213
"",0.3001,0.2812,0.3007,0.118
"",0.2999,0.2759,0.2958,0.1285
"",0.3015,0.2975,0.2928,0.1082
"",0.3015,0.2984,0.2968,0.1033
"",0.302,0.2883,0.2863,0.1234
"",0.3009,0.2882,0.2911,0.1198
"",0.3014,0.2842,0.2911,0.1234
"",0.2973,0.297,0.2983,0.1073
"",0.3015,0.2618,0.3019,0.1347
"",0.3001,0.2958,0.2955,0.1086
"",0.3019,0.2715,0.2925,0.1341
"",0.2998,0.2929,0.2965,0.1108
"",0.3017,0.3009,0.2951,0.1022
"",0.3015,0.2926,0.2933,0.1126
"",0.3011,0.262,0.3008,0.1362
"",0.2998,0.28,0.2989,0.1213
"",0.3021,0.2827,0.2935,0.1217
"",0.2995,0.2787,0.2966,0.1252
"",0.2998,0.2964,0.2935,0.1103
"",0.2991,0.2989,0.295,0.107
"",0.2989,0.2938,0.2978,0.1095
"",0.2976,0.2911,0.2992,0.1121
"",0.3009,0.2993,0.2829,0.1169
"",0.2997,0.2969,0.2878,0.1155
"",0.3011,0.2839,0.3016,0.1134
"",0.3017,0.2792,0.2975,0.1216
"",0.2996,0.2953,0.2958,0.1093
"",0.2998,0.2893,0.2976,0.1133
"",0.2991,0.2949,0.3,0.1061
"",0.3014,0.2898,0.2966,0.1122
"",0.3019,0.2843,0.2909,0.1229
"",0.3015,0.2925,0.2934,0.1126
"",0.3015,0.2758,0.2893,0.1334
"",0.3009,0.2988,0.2864,0.1139
"",0.3008,0.299,0.301,0.0991
"",0.3019,0.2756,0.2904,0.1321
"",0.2995,0.2925,0.2987,0.1094
"",0.3019,0.2739,0.2952,0.129
"",0.3013,0.2877,0.2919,0.119
"",0.301,0.2987,0.2902,0.1101
"",0.3011,0.3004,0.2917,0.1069
"",0.3009,0.2812,0.2894,0.1285
"",0.3,0.2914,0.2923,0.1162
"",0.2993,0.2908,0.2956,0.1142
"",0.3012,0.2908,0.3008,0.1072
"",0.3001,0.2911,0.2992,0.1096
"",0.2995,0.2917,0.2997,0.1091
"",0.3018,0.2797,0.2896,0.1289
"",0.3016,0.2911,0.2897,0.1176
"",0.3006,0.2761,0.2966,0.1267
"",0.302,0.2871,0.29,0.1208
"",0.3008,0.2921,0.2998,0.1072
"",0.3002,0.2769,0.2991,0.1238
"",0.3009,0.2836,0.2964,0.1191
"",0.2997,0.2741,0.301,0.1252
"",0.3004,0.2789,0.2926,0.128
"",0.3009,0.2863,0.286,0.1268
"",0.2988,0.2969,0.2901,0.1141
"",0.3024,0.2533,0.3007,0.1436
"",0.2987,0.294,0.2998,0.1074
"",0.301,0.2877,0.2855,0.1258
"",0.2979,0.2981,0.3003,0.1037
"",0.2993,0.29,0.2984,0.1123
"",0.3016,0.301,0.3007,0.0967
"",0.3009,0.2692,0.3015,0.1284
"",0.2984,0.2987,0.2919,0.1109
"",0.3015,0.2773,0.3013,0.1199
"",0.3004,0.281,0.2972,0.1215
"",0.3016,0.2976,0.3016,0.0992
"",0.3017,0.2794,0.2869,0.132
"",0.3013,0.2781,0.2993,0.1213
"",0.2998,0.2852,0.2947,0.1202
"",0.2997,0.2962,0.2998,0.1043
"",0.3,0.2936,0.2931,0.1133
"",0.3018,0.2907,0.2961,0.1114
"",0.3006,0.2793,0.2991,0.121
"",0.3009,0.2927,0.2864,0.12
"",0.3015,0.291,0.2818,0.1257
"",0.3014,0.2986,0.285,0.115
"",0.3014,0.2731,0.2898,0.1357
"",0.3021,0.2882,0.2874,0.1223
"",0.2993,0.2821,0.3003,0.1183
"",0.2998,0.2909,0.2995,0.1098
"",0.2984,0.2961,0.293,0.1125
"",0.3005,0.2766,0.2938,0.1291
"",0.3013,0.2868,0.2994,0.1125
"",0.3003,0.2866,0.2975,0.1156
"",0.2994,0.2909,0.3005,0.1092
"",0.3006,0.2909,0.2993,0.1092
"",0.2996,0.2854,0.2951,0.1198
"",0.3014,0.2958,0.2929,0.1099
"",0.2988,0.2974,0.2943,0.1095
"",0.2995,0.2999,0.2885,0.1122
"",0.3006,0.2981,0.2972,0.1042
"",0.3013,0.2991,0.3009,0.0986
"",0.308,0.3003,0.3063,0.0854
"",0.3094,0.3073,0.3056,0.0777
"",0.3163,0.3161,0.3068,0.0608
"",0.3135,0.3153,0.3151,0.0562
"",0.3242,0.316,0.3166,0.0432
"",0.3196,0.3231,0.3222,0.0351
"",0.3297,0.3206,0.3276,0.0221
"",0.3294,0.3293,0.3248,0.0165
"",0.3313,0.3309,0.3256,0.0122
"",0.3322,0.3334,0.3322,0.0021
"",0.3338,0.3338,0.3314,9e-04
"",0.3249,0.3511,0.3239,1e-04
"",0.3903,0.3958,0.2139,0
"",0.4312,0.4317,0.1369,2e-04
"",0.4666,0.4616,0.0715,4e-04
"",0.4842,0.4845,0.0312,1e-04
"",0.4942,0.5053,5e-04,1e-04
"",0.4626,0.5299,0.0073,1e-04
"",0.4477,0.5518,5e-04,0
"",0.4152,0.5769,0.0073,7e-04
"",0.003,0.4291,0.4292,0.1387
"",0.3806,0.6186,7e-04,1e-04
"",0.3487,0.6411,0.0087,0.0015
"",0.0068,0.4436,0.4436,0.1061
"",0.0034,0.4529,0.4525,0.0912
"",-0.0043,0.4652,0.4643,0.0748
"",0.0017,0.4644,0.4646,0.0693
"",-0.0137,0.4824,0.4814,0.0499
"",-0.0069,0.4817,0.4812,0.044
"",0.0203,0.4655,0.4657,0.0484
"",0.0071,0.4808,0.4806,0.0315
"",-0.0165,0.5063,0.5059,0.0043
"",0.0064,0.4912,0.4913,0.0111
"",0.0042,0.4972,0.4973,0.0013
"",0.0232,0.4867,0.486,0.0042
"",0.0334,0.4822,0.4822,0.0022
"",0.0426,0.4792,0.4774,7e-04
