"","vmu","vrisk","vmaxpercrisk","vmaxriskcontrib"
"1",0.00661032165483922,0.0170598578677562,0.3018,0.0051
"2",0.00660447858940143,0.0170681951351471,0.3012,0.0051
"3",0.00657232007297235,0.0170422053622382,0.3015,0.0051
"4",0.00657985308401917,0.0170449669068124,0.3016,0.0051
"5",0.00660595131189872,0.0170699310778864,0.3011,0.0051
"6",0.00660008602095751,0.0170895591707469,0.2996,0.0051
"7",0.00660861369851256,0.0170770000000582,0.3007,0.0051
"8",0.00658959519990602,0.017038893023314,0.3022,0.0051
"9",0.00659989340263323,0.0170784467121710,0.3003,0.0051
"10",0.0065779505799919,0.0170519714928703,0.3011,0.0051
"11",0.006588210825647,0.0170575213814866,0.3011,0.0051
"12",0.00658907138692616,0.0170660256454740,0.3006,0.0051
"13",0.00661089413594175,0.0171263215839745,0.2992,0.0051
"14",0.00659113413058849,0.0170699047402470,0.3005,0.0051
"15",0.00660616420400084,0.0171078732704578,0.2989,0.0051
"16",0.0065995635894728,0.0170524466160726,0.3019,0.0051
"17",0.00659653000012235,0.0170732357524509,0.3005,0.0051
"18",0.00659053120483059,0.0170531909181010,0.3015,0.0051
"19",0.0066077414173119,0.0170963252535672,0.3008,0.0051
"20",0.00660463321994104,0.0170804676397949,0.3004,0.0051
"21",0.0066060990874818,0.0170738207925506,0.3008,0.0051
"22",0.00660571181824376,0.0170742275700379,0.3008,0.0051
"23",0.00659956742702411,0.0170895255540977,0.2996,0.0051
"24",0.00661534598705907,0.0170718419431485,0.3014,0.0051
"25",0.00660475009355458,0.0171054006432779,0.3008,0.0051
"26",0.00660047135172966,0.0171200055625741,0.3003,0.0051
"27",0.00660428385907529,0.0171024546970265,0.3001,0.0051
"28",0.00660840060559063,0.0171212329563268,0.2985,0.0051
"29",0.00659127148518475,0.0170544282772782,0.3014,0.0051
"30",0.00661667824667158,0.0170947562638516,0.3002,0.0051
"31",0.00660084927678835,0.0170601811505862,0.3016,0.0051
"32",0.0066011634821001,0.0170930230779974,0.2995,0.0051
"33",0.00660909882322403,0.0171086827145592,0.3001,0.0051
"34",0.00660746860541044,0.0171219411577241,0.3006,0.0051
"35",0.00660877438856853,0.0170863281957583,0.3002,0.0051
"36",0.00660363940311817,0.0170517982594801,0.302,0.0051
"37",0.00660135058272318,0.0170858565309395,0.2999,0.0051
"38",0.00657768416473623,0.0170537115465712,0.301,0.0051
"39",0.00659986066190535,0.017101056686346,0.3001,0.0051
"40",0.00660720693796872,0.0170810253388132,0.3004,0.0051
"41",0.00661162929772003,0.0170635495975373,0.3017,0.0051
"42",0.00658634289044625,0.0170512745633056,0.3014,0.0051
"43",0.00660426303295756,0.0170579693516610,0.3017,0.0051
"44",0.00661047868069267,0.0171008483194770,0.2995,0.0051
"45",0.00657699861771636,0.0170509270196680,0.3011,0.0051
"46",0.00659746809120033,0.0170736546307970,0.3005,0.0051
"47",0.00661240319839689,0.0171067195538349,0.2992,0.0051
"48",0.00660826662886153,0.0170604530975795,0.3017,0.0051
"49",0.00658363809288225,0.0170375232171588,0.3021,0.0051
"50",0.0066145790464825,0.0171143799995643,0.2994,0.0051
"51",0.00660260393555605,0.0171040114142008,0.2989,0.0051
"52",0.00660138880350857,0.0170678739475134,0.3011,0.0051
"53",0.00661487205899778,0.0170822218778656,0.3011,0.0051
"54",0.00660214378177699,0.0170833193410283,0.3001,0.0051
"55",0.00661276631154493,0.0170986395452544,0.2997,0.0051
"56",0.00658464128496182,0.0170464394755072,0.3016,0.0051
"57",0.00660820771345775,0.0170974389832768,0.2996,0.0051
"58",0.00661109067768555,0.0170652044376619,0.3015,0.0051
"59",0.00659562692953795,0.0170809766531836,0.3,0.0051
"60",0.00659052842403585,0.0170856036360021,0.2995,0.0051
"61",0.00658879156702641,0.0170610226790845,0.301,0.0051
"62",0.00661002978644094,0.0170661113891284,0.3016,0.0051
"63",0.00661157738278516,0.0171383001711930,0.3005,0.0051
"64",0.00660595460685425,0.0170567277291607,0.3018,0.0051
"65",0.00659649575228449,0.0170483445990551,0.3019,0.0051
"66",0.00659884652145314,0.0170639647500863,0.3011,0.0051
"67",0.00659909488205936,0.0170650215172583,0.3012,0.0051
"68",0.00658063391317139,0.0170535673194543,0.3011,0.0051
"69",0.0066027939215271,0.0171151221828115,0.2988,0.0051
"70",0.0065980982557643,0.0170772219793002,0.3004,0.0051
"71",0.00660076980045825,0.0170945646316373,0.2994,0.0051
"72",0.00661155093888242,0.0171156141470259,0.2988,0.0051
"73",0.00659491290407966,0.0170874938812339,0.2996,0.0051
"74",0.00661228724445789,0.0171212202197176,0.299,0.0051
"75",0.0066057793569856,0.0170554918995549,0.3019,0.0051
"76",0.00660398499751347,0.0171069499163889,0.2988,0.0051
"77",0.00660472535379912,0.0170555140407285,0.3019,0.0051
"78",0.00659089423358138,0.0170639088050690,0.3008,0.0051
"79",0.00660081962482908,0.0170813083229498,0.3001,0.0051
"80",0.00660812230609796,0.0171075838548128,0.299,0.0051
"81",0.00658829748259594,0.0170461766909128,0.3017,0.0051
"82",0.0066113972674149,0.0171432008667632,0.2984,0.0051
"83",0.00660868205068157,0.0171422048271542,0.3,0.0051
"84",0.00658904891951374,0.0170673433413261,0.3013,0.0051
"85",0.00660903010348246,0.0171311909564591,0.2976,0.0051
"86",0.00659335402223304,0.0170639921362348,0.3009,0.0051
"87",0.00661468465240442,0.0171293662021727,0.3006,0.0051
"88",0.00661357830197909,0.0170893845477115,0.3003,0.0051
"89",0.00660340555238451,0.0170700576737625,0.301,0.0051
"90",0.0066119740284739,0.0171232111925008,0.2998,0.0051
"91",0.00660192524736321,0.0170506023129271,0.302,0.0051
"92",0.00661311765942282,0.0171294716017052,0.3006,0.0051
"93",0.00658973742104247,0.0170543701733080,0.3017,0.0051
"94",0.00657630927085239,0.0170370536789417,0.3019,0.0051
"95",0.0065997012097588,0.0170651351284137,0.301,0.0051
"96",0.00659193120461931,0.0170822581241367,0.2998,0.0051
"97",0.00660479658204253,0.0170754463592388,0.3007,0.0051
"98",0.00659164816733175,0.0170541032047243,0.3014,0.0051
"99",0.00658401433331191,0.0170497814204702,0.3015,0.0051
"100",0.00660771746539548,0.0170665878469111,0.3014,0.0051
"101",0.00660066205307099,0.0170552413292535,0.3019,0.0051
"102",0.00659110033960374,0.0170649453686530,0.3008,0.0051
"103",0.00659935474206818,0.0170502405213132,0.302,0.0051
"104",0.00659735214118366,0.0170506891578550,0.3019,0.0051
"105",0.00660319795019644,0.0170810470834045,0.3003,0.0051
"106",0.0066036980896936,0.0170687048919854,0.3011,0.0051
"107",0.00659725302784077,0.0170707863687179,0.3006,0.0051
"108",0.00659951992232275,0.0171013467827461,0.2989,0.0051
"109",0.00660669030122017,0.0170803195606302,0.3006,0.0051
"110",0.00660479821485696,0.0170563786153664,0.3019,0.0051
"111",0.00659647333788927,0.0170799946139248,0.3007,0.0051
"112",0.00660929091458222,0.0170671519146400,0.3014,0.0051
"113",0.00660364757883424,0.0170659582829066,0.3012,0.0051
"114",0.00658388080229571,0.0170458969289321,0.3017,0.0051
