Nasdaq	NYSE
-1.984629637	0
-1.495914208	-2.632667166
1.394627863	1.366749689
0.404531296	0.374991759
1.376567009	1.919146038
0.608709038	0.206794087
0.99764545	0.842366295
0.488616236	0.125521153
0.343854752	0.394959937
0.362038151	0.579918123
0.662488353	0
-0.11545864	-0.235417901
0.211572446	0.219148961
0.771958282	0.887952292
-0.273650217	-0.591091267
1.001847198	1.548217878
0.465790481	0.291441827
0.288455709	-0.076765427
0.624221752	1.050752322
-0.255459811	-0.715157267
0.628131049	0.98864164
0.278594825	-0.805408168
0.339454114	0.713852721
-0.172669012	-0.591403432
0.111035728	0.212848656
0.485870755	0.846892892
0.477415523	0.450556851
0.899647427	1.311628167
-0.479209919	-0.683957809
0.066863206	0.594340776
0.248824283	0.384505616
-0.87666457	-1.411007726
-0.601044434	-1.022848542
0	0
-0.927019802	-0.789553341
0.643646237	1.497699952
-0.488544925	-0.875584916
-0.765428921	-0.348654877
-1.326854869	-1.546937758
0.334945174	0.538637534
-0.486988282	-1.297637778
-0.171325274	-0.047077517
0.361343066	1.0524641
-0.736745155	-0.927463165
-0.947935107	0.016165179
-1.589239818	-1.535541651
-2.851841255	-2.297286146
-1.662012954	-1.596020058
-1.683146585	-0.608453283
0.561896661	1.214768846
0.04841108	-0.769347685
0.241704479	-1.090584689
-0.373160546	-0.217032404
-3.336693015	-3.127953369
-0.559903839	1.483419656
0.752988606	0.372225714
-0.23604317	-1.101511069
-0.603363416	-0.720027058
-3.065233942	-3.085387084
-1.564813122	-0.407797372
-0.226637553	-0.463513922
-6.346009312	-1.222128839
4.07414046	2.711189822
1.344880981	1.450809499
1.620388297	0.31120527
1.978200895	0.637396503
0.154519732	-0.429919075
0	0
-1.937627896	-1.95118495
0.724505541	0.962222672
1.235177125	1.778979066
0.90736756	1.090196709
0.341781229	-0.084920252
-0.787118706	-0.98746745
-0.205083204	-0.205806404
-0.462980801	-1.01740561
-0.895274375	-0.451683079
0.081720594	-0.419011154
-1.180263197	-0.841659392
1.956980494	3.48124756
0.887655757	0.356793101
1.284441301	0.727310809
-0.556741975	0.587564417
0.448528568	0.467578452
0.582966133	0.265984812
0.458223756	0.315430447
-0.22168994	-0.698105066
0.407245231	0.182858635
0.561699369	0.746869303
0.840192749	-0.01719677
0.944690557	0.873286424
-0.223120996	-0.823267666
-0.139703851	-1.213736876
-0.069925183	-0.01581903
0.794263215	1.262367125
1.076763578	0.593427334
0.656906701	0.229571361
0.421970272	0.310941195
0	0.260691984
-0.210762562	-0.064723924
-0.122582418	0.114009287
0.821150826	1.245597656
1.022063765	1.372874121
0	0
0.413913402	0.711459544
0.398936699	0.596936912
-0.405599146	-1.434475271
0.239568891	0.743664725
-0.186281738	-0.3479511
-0.16661672	-0.173681338
0.856778063	1.774926476
0.659154717	0.217647145
0.308308159	0.448503544
0.209369352	0.417378713
0.748823294	0.751545068
0.691731109	1.123978775
0.057965416	-0.378039801
0.820780498	0.317992619
0.127640582	0.197162637
